"Date(UTC)","UnixTimeStamp","Value"
"6/28/2022","1656374400","119484945.276364282173586078"
"6/29/2022","1656460800","119493673.691062033633408136"
"6/30/2022","1656547200","119503109.130616669049561533"
"7/1/2022","1656633600","119515347.883415000585378788"
"7/2/2022","1656720000","119529085.342339717106401543"
"7/3/2022","1656806400","119542757.470582282198140579"
"7/4/2022","1656892800","119555785.333158768750057473"
"7/5/2022","1656979200","119568312.587026753589137751"
"7/6/2022","1657065600","119580742.847333156195878642"
"7/7/2022","1657152000","119592336.674915808217680106"
"7/8/2022","1657238400","119605146.502374383735383616"
"7/9/2022","1657324800","119618428.709018373312216899"
"7/10/2022","1657411200","119631960.096078661793699326"
"7/11/2022","1657497600","119644505.724401345850369496"
"7/12/2022","1657584000","119657591.730043370402385283"
"7/13/2022","1657670400","119670086.344171673308478757"
"7/14/2022","1657756800","119682125.444756116994307469"
"7/15/2022","1657843200","119694354.728540351926345988"
"7/16/2022","1657929600","119707535.286311874945927796"
"7/17/2022","1658016000","119720659.469683645665601252"
"7/18/2022","1658102400","119733114.952019194330701084"
"7/19/2022","1658188800","119745549.113878612599273050"
"7/20/2022","1658275200","119757990.640338190654438517"
"7/21/2022","1658361600","119771337.790241933424321528"
"7/22/2022","1658448000","119785093.232616301678927010"
"7/23/2022","1658534400","119799133.994804552578427681"
"7/24/2022","1658620800","119813350.000699996605554141"
"7/25/2022","1658707200","119826655.310671422327027327"
"7/26/2022","1658793600","119839699.264969955236521879"
"7/27/2022","1658880000","119853086.687132228877176038"
"7/28/2022","1658966400","119866186.139023470751158127"
"7/29/2022","1659052800","119879896.336487342878083051"
"7/30/2022","1659139200","119894268.711481380814867961"
"7/31/2022","1659225600","119908624.574078132910199837"
"8/1/2022","1659312000","119922553.819696596731160220"
"8/2/2022","1659398400","119936475.336863360466060508"
"8/3/2022","1659484800","119950407.048672717139409737"
"8/4/2022","1659571200","119964287.508388515680709969"
"8/5/2022","1659657600","119978303.951033381897379884"
"8/6/2022","1659744000","119992525.217380920863712527"
"8/7/2022","1659830400","120006831.135107803824508661"
"8/8/2022","1659916800","120020355.397389116613808317"
"8/9/2022","1660003200","120033673.328346960551143035"
"8/10/2022","1660089600","120046219.208390804916650845"
"8/11/2022","1660176000","120059046.047952485505312638"
"8/12/2022","1660262400","120072394.541242871082050726"
"8/13/2022","1660348800","120086499.521671262827188551"
"8/14/2022","1660435200","120100415.823750031824734104"
"8/15/2022","1660521600","120113607.034855010645729300"
"8/16/2022","1660608000","120127533.762042258676014712"
"8/17/2022","1660694400","120141209.444572963375264080"
"8/18/2022","1660780800","120155028.983267946079186506"
"8/19/2022","1660867200","120168334.778768413031184896"
"8/20/2022","1660953600","120182333.449214565096802632"
"8/21/2022","1661040000","120196705.450193847813533786"
"8/22/2022","1661126400","120210261.538974180891139312"
"8/23/2022","1661212800","120224060.705310576423772804"
"8/24/2022","1661299200","120237739.945495975280116278"
"8/25/2022","1661385600","120251093.608753325070336384"
"8/26/2022","1661472000","120264659.592211223679161338"
"8/27/2022","1661558400","120278685.901569282021298393"
"8/28/2022","1661644800","120292645.108515870442103556"
"8/29/2022","1661731200","120306087.820671384624841953"
"8/30/2022","1661817600","120318989.026495852634168866"
"8/31/2022","1661904000","120331850.015418272146486377"
"9/1/2022","1661990400","120344722.633042687854932988"
"9/2/2022","1662076800","120358336.242142588921771932"
"9/3/2022","1662163200","120372319.126141638907593749"
"9/4/2022","1662249600","120386373.726638475049718895"
"9/5/2022","1662336000","120399966.551005187516390442"
"9/6/2022","1662422400","120413247.192963497491538300"
"9/7/2022","1662508800","120426085.144156462441520563"
"9/8/2022","1662595200","120438885.585973042735077111"
"9/9/2022","1662681600","120451333.308737218508970623"
"9/10/2022","1662768000","120464737.820270788923180432"
"9/11/2022","1662854400","120478249.826524065315041945"
"9/12/2022","1662940800","120491164.901379758033942443"
"9/13/2022","1663027200","120504099.376764149077160320"
"9/14/2022","1663113600","120517070.920307632540433729"
"9/15/2022","1663200000","120520501.609696893352284647"
"9/16/2022","1663286400","120521022.134581199720417096"
"9/17/2022","1663372800","120522050.357412555443876700"
"9/18/2022","1663459200","120522947.611735914177137081"
"9/19/2022","1663545600","120523645.418923231043685131"
"9/20/2022","1663632000","120524168.951561450041355780"
"9/21/2022","1663718400","120524653.507435162961284114"
"9/22/2022","1663804800","120525340.056000375330014653"
"9/23/2022","1663891200","120526145.283154826560014112"
"9/24/2022","1663977600","120527268.527657360521484945"
"9/25/2022","1664064000","120528239.608295174808654546"
"9/26/2022","1664150400","120528758.379076288242128960"
"9/27/2022","1664236800","120528615.721507010143685641"
"9/28/2022","1664323200","120528798.715941535246335989"
"9/29/2022","1664409600","120529053.153222853314969114"
"9/30/2022","1664496000","120529173.035440663314973732"
"10/1/2022","1664582400","120529980.490026475489259524"
"10/2/2022","1664668800","120531133.987514355940603613"
"10/3/2022","1664755200","120531307.616558505960306001"
"10/4/2022","1664841600","120531521.416933104524554337"
"10/5/2022","1664928000","120531683.335994918003993421"
"10/6/2022","1665014400","120532141.433906273858615322"
"10/7/2022","1665100800","120532870.541510820307859836"
"10/8/2022","1665187200","120532590.521586199341240202"
"10/9/2022","1665273600","120531269.621228415754629155"
"10/10/2022","1665360000","120529350.467306226485067213"
"10/11/2022","1665446400","120528206.703378317784144789"
"10/12/2022","1665532800","120527918.759992549469740088"
"10/13/2022","1665619200","120527320.339384400390819269"
"10/14/2022","1665705600","120527201.351924296067467291"
"10/15/2022","1665792000","120527181.757141155106207372"
"10/16/2022","1665878400","120527423.472666654397600547"
"10/17/2022","1665964800","120526926.591105585988463259"
"10/18/2022","1666051200","120526156.494800688585174087"
"10/19/2022","1666137600","120525159.675464537953755542"
"10/20/2022","1666224000","120523601.322880738763701370"
"10/21/2022","1666310400","120522166.102999152115962818"
"10/22/2022","1666396800","120521990.647192924482212966"
"10/23/2022","1666483200","120522300.170093463615753075"
"10/24/2022","1666569600","120522010.201977913380537557"
"10/25/2022","1666656000","120521569.117275146175100940"
"10/26/2022","1666742400","120521371.588511141391854150"
"10/27/2022","1666828800","120521476.402880739876375606"
"10/28/2022","1666915200","120521501.339681354780116870"
"10/29/2022","1667001600","120521915.547258734329860324"
"10/30/2022","1667088000","120522749.668105157081874148"
"10/31/2022","1667174400","120522444.343826896718693151"
"11/1/2022","1667260800","120522741.839681256901268496"
"11/2/2022","1667347200","120522845.849948562724445726"
"11/3/2022","1667433600","120522577.807204108369215023"
"11/4/2022","1667520000","120522436.235485150019459134"
"11/5/2022","1667606400","120522874.095228425003266183"
"11/6/2022","1667692800","120523380.522097105015950762"
"11/7/2022","1667779200","120523273.943514600489509815"
"11/8/2022","1667865600","120520345.882458835894524818"
"11/9/2022","1667952000","120516788.066855201368050655"
"11/10/2022","1668038400","120514846.968707474398605633"
"11/11/2022","1668124800","120514250.085834552170517651"
"11/12/2022","1668211200","120514464.584313707381298982"
"11/13/2022","1668297600","120514677.320186780096421288"
"11/14/2022","1668384000","120514502.559190867007797466"
"11/15/2022","1668470400","120514259.968979297461842614"
"11/16/2022","1668556800","120514248.638821798878592870"
"11/17/2022","1668643200","120514346.747163844575647050"
"11/18/2022","1668729600","120514639.206911188973531725"
"11/19/2022","1668816000","120515110.533259738924208116"
"11/20/2022","1668902400","120515602.979083099237962812"
"11/21/2022","1668988800","120516015.057595686524784426"
"11/22/2022","1669075200","120516219.304437455265566308"
"11/23/2022","1669161600","120516582.365638044650010507"
"11/24/2022","1669248000","120517084.217771986942589211"
"11/25/2022","1669334400","120517695.111826418415481422"
"11/26/2022","1669420800","120518362.705564991904644243"
"11/27/2022","1669507200","120519048.932795700221643052"
"11/28/2022","1669593600","120519355.716650942858741617"
"11/29/2022","1669680000","120519912.903349281359568669"
"11/30/2022","1669766400","120520359.053829954964930704"
"12/1/2022","1669852800","120520786.455268200177728824"
"12/2/2022","1669939200","120521253.944266183133095348"
"12/3/2022","1670025600","120521781.515946714093223269"
"12/4/2022","1670112000","120522324.796582829594019845"
"12/5/2022","1670198400","120522639.514870153203268167"
"12/6/2022","1670284800","120522825.075741877235083743"
"12/7/2022","1670371200","120522879.678777702777724737"
"12/8/2022","1670457600","120523031.518661973989144549"
"12/9/2022","1670544000","120521484.160604601855720410"
"12/10/2022","1670630400","120521627.990804244630805234"
"12/11/2022","1670716800","120521758.943461464816971393"
